Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21-22,C.J.,Miles,SG,34,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
21-22,Patty,Mills,SG,33,BRK,81,48,2346,324,794,0.408,227,568,0.4,97,226,0.429,0.551,48,59,0.814,18,138,156,183,51,17,73,112,923
21-22,Paul,Millsap,C,36,TOT,33,1,375,45,115,0.391,8,35,0.229,37,80,0.463,0.426,17,24,0.708,41,73,114,29,10,13,19,67,115
21-22,Paul,Millsap,C,36,BRK,24,0,270,32,85,0.376,6,27,0.222,26,58,0.448,0.412,12,17,0.706,29,60,89,24,5,11,11,48,82
21-22,Paul,Millsap,C,36,PHI,9,1,106,13,30,0.433,2,8,0.25,11,22,0.5,0.467,5,7,0.714,12,13,25,5,5,2,8,19,33
21-22,Shake,Milton,SG,25,PHI,55,6,1179,173,403,0.429,43,133,0.323,130,270,0.481,0.483,61,73,0.836,30,112,142,139,28,17,44,99,450
21-22,Davion,Mitchell,PG,23,SAC,75,19,2076,352,843,0.418,101,320,0.316,251,523,0.48,0.477,56,85,0.659,33,133,166,313,55,24,114,141,861
21-22,Donovan,Mitchell,SG,25,UTA,67,67,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733
21-22,Evan,Mobley,PF,20,CLE,69,69,2331,422,830,0.508,23,92,0.25,399,738,0.541,0.522,167,252,0.663,143,427,570,174,56,115,133,147,1034
21-22,Malik,Monk,SG,23,LAL,76,37,2139,391,826,0.473,173,442,0.391,218,384,0.568,0.578,93,117,0.795,37,219,256,218,61,29,122,138,1048
21-22,Greg,Monroe,C,31,TOT,14,0,195,32,57,0.561,0,0,,32,57,0.561,0.561,12,23,0.522,30,34,64,22,8,10,12,24,76
21-22,Greg,Monroe,C,31,MIN,4,0,81,13,22,0.591,0,0,,13,22,0.591,0.591,3,7,0.429,6,18,24,16,4,6,7,9,29
21-22,Greg,Monroe,C,31,WAS,2,0,18,4,8,0.5,0,0,,4,8,0.5,0.5,0,0,,7,3,10,1,1,1,2,2,8
21-22,Greg,Monroe,C,31,MIL,5,0,70,11,22,0.5,0,0,,11,22,0.5,0.5,5,9,0.556,11,10,21,2,3,2,3,7,27
21-22,Greg,Monroe,C,31,UTA,3,0,26,4,5,0.8,0,0,,4,5,0.8,0.8,4,7,0.571,6,3,9,3,0,1,0,6,12
21-22,Moses,Moody,SG,19,GSW,52,11,607,80,183,0.437,40,110,0.364,40,73,0.548,0.546,28,36,0.778,17,63,80,23,7,10,13,43,228
21-22,Xavier,Moon,SG,27,LAC,10,0,137,25,51,0.49,5,14,0.357,20,37,0.541,0.539,3,5,0.6,2,12,14,24,7,3,6,9,58
21-22,Matt,Mooney,SG,25,NYK,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,1,0,1,0,0
21-22,Ja,Morant,PG,22,MEM,57,57,1889,580,1177,0.493,88,256,0.344,492,921,0.534,0.53,316,415,0.761,77,248,325,384,66,22,196,86,1564
21-22,Juwan,Morgan,PF,24,TOT,2,0,31,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,2,2,4,1,0,0,0,3,5
21-22,Juwan,Morgan,PF,24,TOR,1,0,27,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,2,2,4,1,0,0,0,3,5
21-22,Juwan,Morgan,PF,24,BOS,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
21-22,Jaylen,Morris,SG,26,SAS,3,0,16,0,6,0,0,2,0,0,4,0,0,2,4,0.5,0,2,2,2,0,0,1,2,2
21-22,Marcus,Morris,PF,32,LAC,54,54,1564,300,691,0.434,101,275,0.367,199,416,0.478,0.507,129,148,0.872,26,213,239,113,28,18,69,115,830
21-22,Markieff,Morris,PF,32,MIA,17,1,298,54,114,0.474,13,39,0.333,41,75,0.547,0.531,8,9,0.889,17,28,45,23,6,1,20,33,129
21-22,Monte,Morris,PG,26,DEN,75,74,2239,374,773,0.484,124,314,0.395,250,459,0.545,0.564,73,84,0.869,27,199,226,333,56,14,78,92,945
21-22,Emmanuel,Mudiay,PG,25,SAC,2,0,11,0,2,0,0,0,,0,2,0,0,3,4,0.75,0,0,0,4,1,0,1,1,3
21-22,Mychal,Mulder,PG,27,TOT,17,3,240,24,77,0.312,17,54,0.315,7,23,0.304,0.422,4,4,1,2,22,24,5,4,2,8,13,69
21-22,Mychal,Mulder,PG,27,ORL,15,2,195,20,67,0.299,13,46,0.283,7,21,0.333,0.396,2,2,1,2,19,21,3,4,1,8,12,55
21-22,Mychal,Mulder,PG,27,MIA,2,1,44,4,10,0.4,4,8,0.5,0,2,0,0.6,2,2,1,0,3,3,2,0,1,0,1,14
21-22,Ade,Murkey,SG,24,SAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
21-22,Trey,Murphy,SF,21,NOP,62,1,864,109,277,0.394,71,186,0.382,38,91,0.418,0.522,45,51,0.882,47,100,147,38,23,7,16,60,334
21-22,Dejounte,Murray,PG,25,SAS,68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438
21-22,Mike,Muscala,C,30,OKC,43,0,592,113,248,0.456,70,163,0.429,43,85,0.506,0.597,48,57,0.842,21,108,129,22,18,26,14,58,344
21-22,Svi,Mykhailiuk,SF,24,TOR,56,5,716,91,234,0.389,41,134,0.306,50,100,0.5,0.476,32,37,0.865,20,72,92,45,26,4,32,54,255
21-22,Abdel,Nader,SF,28,PHO,14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34
21-22,Larry,Nance,C-PF,29,TOT,46,11,1040,129,247,0.522,23,70,0.329,106,177,0.599,0.569,40,57,0.702,72,176,248,81,43,20,37,84,321
21-22,Larry,Nance,C,29,POR,37,11,858,102,198,0.515,19,62,0.306,83,136,0.61,0.563,32,49,0.653,58,151,209,73,38,13,27,67,255
21-22,Larry,Nance,PF,29,NOP,9,0,182,27,49,0.551,4,8,0.5,23,41,0.561,0.592,8,8,1,14,25,39,8,5,7,10,17,66
21-22,RJ,Nembhard,SG,22,CLE,14,0,63,6,18,0.333,0,2,0,6,16,0.375,0.333,3,4,0.75,3,4,7,12,1,0,3,2,15
21-22,Aaron,Nesmith,SF,22,BOS,52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196
21-22,Raul,Neto,PG,29,WAS,70,19,1372,204,441,0.463,35,120,0.292,169,321,0.526,0.502,83,108,0.769,13,121,134,217,55,3,79,104,526
21-22,Malik,Newman,PG,24,CLE,1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8
21-22,Georges,Niang,PF,28,PHI,76,7,1736,246,563,0.437,156,387,0.403,90,176,0.511,0.575,52,59,0.881,25,178,203,102,30,13,59,190,700
21-22,Daishen,Nix,SG,19,HOU,24,0,261,27,67,0.403,7,26,0.269,20,41,0.488,0.455,16,30,0.533,7,26,33,40,15,0,26,21,77
21-22,Zeke,Nnaji,PF,21,DEN,41,1,698,96,186,0.516,37,80,0.463,59,106,0.557,0.616,41,65,0.631,56,91,147,17,16,13,23,79,270
21-22,Nerlens,Noel,C,27,NYK,25,11,562,32,60,0.533,0,3,0,32,57,0.561,0.533,21,30,0.7,48,93,141,23,30,31,20,67,85
21-22,Jaylen,Nowell,SG,22,MIN,62,1,975,196,413,0.475,63,160,0.394,133,253,0.526,0.551,72,92,0.783,22,101,123,130,27,10,36,73,527
21-22,Frank,Ntilikina,SG,23,DAL,58,5,685,89,223,0.399,38,111,0.342,51,112,0.455,0.484,24,25,0.96,12,67,79,69,27,7,31,61,240
21-22,Jusuf,Nurki?,C,27,POR,56,56,1579,321,600,0.535,15,56,0.268,306,544,0.563,0.548,185,268,0.69,167,452,619,157,62,34,143,189,842
21-22,David,Nwaba,SF,29,HOU,46,4,609,85,176,0.483,15,49,0.306,70,127,0.551,0.526,48,67,0.716,41,110,151,35,28,20,21,55,233
21-22,Jordan,Nwora,SF,23,MIL,62,13,1185,186,462,0.403,79,227,0.348,107,235,0.455,0.488,36,43,0.837,37,184,221,59,25,17,57,78,487
21-22,Royce,O'Neale,SF,28,UTA,77,77,2406,203,444,0.457,119,306,0.389,84,138,0.609,0.591,45,56,0.804,64,304,368,191,86,32,79,183,570
21-22,Semi,Ojeleye,PF,27,TOT,30,0,406,30,99,0.303,15,50,0.3,15,49,0.306,0.379,23,29,0.793,27,47,74,9,7,6,9,30,98
21-22,Semi,Ojeleye,PF,27,MIL,20,0,308,18,70,0.257,11,41,0.268,7,29,0.241,0.336,10,13,0.769,25,33,58,5,5,5,5,26,57
21-22,Semi,Ojeleye,PF,27,LAC,10,0,98,12,29,0.414,4,9,0.444,8,20,0.4,0.483,13,16,0.813,2,14,16,4,2,1,4,4,41
21-22,Chuma,Okeke,PF,23,ORL,70,20,1749,216,575,0.376,118,371,0.318,98,204,0.48,0.478,55,65,0.846,47,300,347,118,97,42,57,95,605
21-22,Josh,Okogie,SG,23,MIN,49,6,516,42,104,0.404,14,47,0.298,28,57,0.491,0.471,35,51,0.686,29,41,70,25,26,12,23,53,133
21-22,Onyeka,Okongwu,C,21,ATL,48,6,992,156,226,0.69,0,0,,156,226,0.69,0.69,80,110,0.727,115,168,283,53,31,60,44,149,392
21-22,Isaac,Okoro,SF,21,CLE,67,61,1981,207,431,0.48,55,157,0.35,152,274,0.555,0.544,119,155,0.768,72,129,201,121,56,22,58,164,588
21-22,KZ,Okpala,PF,22,MIA,21,0,244,30,69,0.435,9,26,0.346,21,43,0.488,0.5,8,11,0.727,11,30,41,14,4,7,5,25,77
21-22,Victor,Oladipo,SG,29,MIA,8,1,173,35,73,0.479,15,36,0.417,20,37,0.541,0.582,14,19,0.737,3,20,23,28,5,1,16,13,99
21-22,Cameron,Oliver,SF,25,ATL,2,0,43,10,15,0.667,1,3,0.333,9,12,0.75,0.7,2,3,0.667,2,4,6,3,1,1,0,5,23
21-22,Kelly,Olynyk,C,30,DET,40,1,764,128,286,0.448,40,119,0.336,88,167,0.527,0.517,69,89,0.775,54,123,177,111,31,19,58,100,365
21-22,Eugene,Omoruyi,SF,24,DAL,4,0,18,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,4,0.5,2,5,7,2,0,0,0,2,7
21-22,Miye,Oni,SG,24,UTA,16,0,44,2,9,0.222,1,8,0.125,1,1,1,0.278,0,1,0,1,6,7,5,0,0,1,7,5
21-22,Cedi,Osman,SF,26,CLE,66,3,1462,247,572,0.432,128,359,0.357,119,213,0.559,0.544,87,131,0.664,25,121,146,135,52,10,67,127,709
21-22,Daniel,Oturu,C,22,TOR,3,0,27,3,6,0.5,0,1,0,3,5,0.6,0.5,3,5,0.6,1,4,5,0,0,2,0,1,9
21-22,Kelly,Oubre,SF,26,CHO,76,13,1999,410,932,0.44,191,553,0.345,219,379,0.578,0.542,126,189,0.667,79,223,302,84,77,31,67,189,1137
21-22,Jaysean,Paige,PG,27,DET,1,0,7,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,1,0,0,1,2,0
21-22,Trayvon,Palmer,SG,27,DET,1,0,17,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,0,0,1,2,0
21-22,Kevin,Pangos,PG,29,CLE,24,3,166,15,46,0.326,6,26,0.231,9,20,0.45,0.391,3,4,0.75,2,9,11,30,3,0,7,11,39
21-22,Jabari,Parker,PF,26,BOS,12,0,112,18,38,0.474,8,16,0.5,10,22,0.455,0.579,9,9,1,5,23,28,6,4,1,8,13,53
21-22,Eric,Paschall,PF,25,UTA,58,3,737,114,235,0.485,40,108,0.37,74,127,0.583,0.57,66,86,0.767,30,76,106,36,9,5,27,51,334
21-22,Chris,Paul,PG,36,PHO,65,65,2139,363,736,0.493,63,199,0.317,300,537,0.559,0.536,169,202,0.837,22,261,283,702,121,20,153,134,958
21-22,Cameron,Payne,PG,27,PHO,58,12,1278,240,587,0.409,71,211,0.336,169,376,0.449,0.469,75,89,0.843,24,151,175,282,40,17,103,119,626
21-22,Elfrid,Payton,PG,27,PHO,50,1,549,67,175,0.383,4,18,0.222,63,157,0.401,0.394,12,32,0.375,21,67,88,99,25,6,47,38,150
21-22,Gary,Payton,SG,29,GSW,71,16,1248,212,344,0.616,43,120,0.358,169,224,0.754,0.679,35,58,0.603,72,175,247,64,96,22,40,131,502
21-22,Norvel,Pelle,C,28,UTA,3,0,19,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,3,3,6,0,0,1,2,1,6
21-22,Reggie,Perry,PF,21,TOT,10,1,187,40,79,0.506,3,16,0.188,37,63,0.587,0.525,9,15,0.6,15,32,47,12,9,6,11,33,92
21-22,Reggie,Perry,PF,21,POR,9,1,177,39,78,0.5,3,16,0.188,36,62,0.581,0.519,9,15,0.6,15,31,46,12,9,6,11,30,90
21-22,Reggie,Perry,PF,21,IND,1,0,10,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,3,2
21-22,Jamorko,Pickett,PF,24,DET,13,0,176,18,50,0.36,13,39,0.333,5,11,0.455,0.49,1,2,0.5,6,26,32,7,0,7,5,12,50
21-22,Theo,Pinson,SF,26,DAL,19,0,148,14,39,0.359,10,30,0.333,4,9,0.444,0.487,10,10,1,2,19,21,17,5,2,5,12,48
21-22,Mason,Plumlee,C,31,CHO,73,73,1793,205,320,0.641,0,2,0,205,318,0.645,0.641,67,171,0.392,176,389,565,226,61,52,100,224,477
21-22,Jakob,Poeltl,C,26,SAS,68,67,1970,410,663,0.618,1,1,1,409,662,0.618,0.619,94,190,0.495,262,372,634,189,45,118,109,212,915
21-22,Aleksej,Pokusevski,PF,20,OKC,61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464
21-22,Yves,Pons,SF,22,MEM,12,0,71,5,16,0.313,3,9,0.333,2,7,0.286,0.406,0,2,0,5,7,12,1,1,4,1,6,13
21-22,Jordan,Poole,SG,22,GSW,76,51,2283,474,1058,0.448,211,580,0.364,263,478,0.55,0.548,246,266,0.925,34,226,260,304,60,23,187,206,1405
21-22,Kevin,Porter,PG,21,HOU,61,61,1907,335,808,0.415,155,413,0.375,180,395,0.456,0.511,124,193,0.642,43,224,267,376,69,22,192,156,949
21-22,Michael,Porter,SF,23,DEN,9,9,265,37,103,0.359,10,48,0.208,27,55,0.491,0.408,5,9,0.556,9,50,59,17,10,2,12,16,89
21-22,Otto,Porter,PF,28,GSW,63,15,1396,193,416,0.464,80,216,0.37,113,200,0.565,0.56,49,61,0.803,86,276,362,94,68,29,37,83,515
21-22,Bobby,Portis,C,26,MIL,72,59,2028,417,871,0.479,133,338,0.393,284,533,0.533,0.555,85,113,0.752,180,477,657,86,53,51,90,174,1052
21-22,Kristaps,Porzi??is,PF,26,TOT,51,51,1481,352,767,0.459,78,252,0.31,274,515,0.532,0.51,248,286,0.867,102,309,411,119,37,84,81,137,1030
21-22,Kristaps,Porzi??is,PF,26,DAL,34,34,1002,229,508,0.451,49,173,0.283,180,335,0.537,0.499,147,170,0.865,64,197,261,69,25,59,53,88,654
21-22,Kristaps,Porzi??is,PF,26,WAS,17,17,479,123,259,0.475,29,79,0.367,94,180,0.522,0.531,101,116,0.871,38,112,150,50,12,25,28,49,376
21-22,Micah,Potter,C,23,DET,3,0,31,5,11,0.455,0,2,0,5,9,0.556,0.455,2,2,1,4,5,9,0,1,1,1,4,12
21-22,Dwight,Powell,C,30,DAL,82,71,1798,269,401,0.671,13,37,0.351,256,364,0.703,0.687,166,212,0.783,173,231,404,97,37,39,64,220,717
21-22,Myles,Powell,PG,24,PHI,11,0,52,5,17,0.294,1,6,0.167,4,11,0.364,0.324,2,2,1,1,5,6,3,1,0,3,8,13
21-22,Norman,Powell,SF-SG,28,TOT,45,41,1458,279,605,0.461,106,253,0.419,173,352,0.491,0.549,189,233,0.811,20,125,145,96,42,21,69,106,853
21-22,Norman,Powell,SF,28,POR,40,39,1333,247,542,0.456,93,229,0.406,154,313,0.492,0.542,159,198,0.803,17,114,131,82,40,17,62,92,746
21-22,Norman,Powell,SG,28,LAC,5,2,125,32,63,0.508,13,24,0.542,19,39,0.487,0.611,30,35,0.857,3,11,14,14,2,4,7,14,107
21-22,Joshua,Primo,SF,19,SAS,50,16,965,101,270,0.374,42,137,0.307,59,133,0.444,0.452,44,59,0.746,32,81,113,81,20,23,57,79,288
21-22,Taurean,Prince,PF,27,MIN,69,8,1177,177,390,0.454,86,229,0.376,91,161,0.565,0.564,62,82,0.756,26,148,174,68,47,23,53,116,502
21-22,Payton,Pritchard,PG,24,BOS,71,2,1001,160,373,0.429,101,245,0.412,59,128,0.461,0.564,21,21,1,32,102,134,139,25,6,41,61,442
21-22,Trevelin,Queen,SG,24,HOU,10,0,74,15,33,0.455,9,24,0.375,6,9,0.667,0.591,4,4,1,7,9,16,4,5,1,7,6,43
21-22,Neemias,Queta,C,22,SAC,15,0,120,17,38,0.447,0,0,,17,38,0.447,0.447,11,17,0.647,14,17,31,6,1,8,6,18,45
21-22,Immanuel,Quickley,PG,22,NYK,78,3,1802,284,724,0.392,137,396,0.346,147,328,0.448,0.487,177,201,0.881,31,216,247,275,54,3,99,167,882
21-22,Jahmi'us,Ramsey,SG,20,SAC,19,0,134,24,58,0.414,5,18,0.278,19,40,0.475,0.457,7,14,0.5,4,9,13,7,1,1,5,10,60
21-22,Julius,Randle,PF,27,NYK,72,72,2544,512,1246,0.411,120,390,0.308,392,856,0.458,0.459,303,401,0.756,125,591,716,370,53,39,245,205,1447
21-22,Austin,Reaves,SG,23,LAL,61,19,1418,146,318,0.459,53,167,0.317,93,151,0.616,0.542,99,118,0.839,45,148,193,110,29,20,40,87,444
21-22,Cam,Reddish,SF,22,TOT,49,7,1012,165,408,0.404,66,184,0.359,99,224,0.442,0.485,101,112,0.902,25,80,105,48,47,15,57,60,497
21-22,Cam,Reddish,SF,22,ATL,34,7,797,138,343,0.402,58,153,0.379,80,190,0.421,0.487,72,80,0.9,20,64,84,38,35,11,44,45,406
21-22,Cam,Reddish,SF,22,NYK,15,0,215,27,65,0.415,8,31,0.258,19,34,0.559,0.477,29,32,0.906,5,16,21,10,12,4,13,15,91
21-22,Davon,Reed,SG,26,DEN,48,5,668,81,161,0.503,37,86,0.43,44,75,0.587,0.618,10,15,0.667,14,94,108,53,24,9,16,63,209
21-22,Paul,Reed,C,22,PHI,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116
21-22,Naz,Reid,C,22,MIN,77,6,1215,233,476,0.489,57,166,0.343,176,310,0.568,0.549,114,149,0.765,102,199,301,71,40,71,82,172,637
21-22,Nick,Richards,C,24,CHO,50,5,367,60,90,0.667,0,0,,60,90,0.667,0.667,30,43,0.698,34,52,86,13,9,21,24,51,150
21-22,Josh,Richardson,SG,28,TOT,65,7,1600,234,534,0.438,102,246,0.415,132,288,0.458,0.534,96,108,0.889,42,143,185,115,56,29,66,116,666
21-22,Josh,Richardson,SG,28,BOS,44,0,1087,152,343,0.443,62,156,0.397,90,187,0.481,0.534,61,71,0.859,26,99,125,66,34,23,39,82,427
21-22,Josh,Richardson,SG,28,SAS,21,7,513,82,191,0.429,40,90,0.444,42,101,0.416,0.534,35,37,0.946,16,44,60,49,22,6,27,34,239
21-22,Austin,Rivers,SG,29,DEN,67,18,1480,146,350,0.417,79,231,0.342,67,119,0.563,0.53,32,44,0.727,19,95,114,90,51,6,54,121,403
21-22,Duncan,Robinson,SG,27,MIA,79,68,2043,290,726,0.399,232,624,0.372,58,102,0.569,0.559,51,61,0.836,24,179,203,129,42,14,60,201,863
21-22,Justin,Robinson,PG,24,TOT,25,0,304,28,93,0.301,18,61,0.295,10,32,0.313,0.398,4,8,0.5,4,17,21,32,9,1,17,27,78
21-22,Justin,Robinson,PG,24,MIL,17,0,198,18,57,0.316,10,37,0.27,8,20,0.4,0.404,2,2,1,2,11,13,21,8,0,11,17,48
21-22,Justin,Robinson,PG,24,SAC,3,0,15,1,8,0.125,0,3,0,1,5,0.2,0.125,0,0,,0,1,1,2,0,0,1,2,2
21-22,Justin,Robinson,PG,24,DET,5,0,91,9,28,0.321,8,21,0.381,1,7,0.143,0.464,2,6,0.333,2,5,7,9,1,1,5,8,28
21-22,Mitchell,Robinson,C,23,NYK,72,62,1848,261,343,0.761,0,0,,261,343,0.761,0.761,88,181,0.486,295,322,617,38,58,133,60,195,610
21-22,Jeremiah,Robinson-Earl,C,21,OKC,49,36,1087,134,324,0.414,58,165,0.352,76,159,0.478,0.503,40,54,0.741,75,199,274,49,29,15,39,75,366
21-22,Isaiah,Roby,PF,23,OKC,45,28,948,166,323,0.514,44,99,0.444,122,224,0.545,0.582,78,116,0.672,75,142,217,71,36,34,43,109,454
21-22,Rajon,Rondo,PG,35,TOT,39,1,698,68,176,0.386,31,88,0.352,37,88,0.42,0.474,19,26,0.731,15,93,108,170,30,6,68,56,186
21-22,Rajon,Rondo,PG,35,LAL,18,0,289,23,71,0.324,8,30,0.267,15,41,0.366,0.38,1,2,0.5,10,39,49,67,12,5,34,25,55
21-22,Rajon,Rondo,PG,35,CLE,21,1,409,45,105,0.429,23,58,0.397,22,47,0.468,0.538,18,24,0.75,5,54,59,103,18,1,34,31,131
21-22,Derrick,Rose,PG,33,NYK,26,4,636,122,274,0.445,37,92,0.402,85,182,0.467,0.513,30,31,0.968,21,57,78,103,22,12,39,15,311
21-22,Terrence,Ross,SG,30,ORL,63,0,1448,220,554,0.397,77,264,0.292,143,290,0.493,0.467,112,130,0.862,20,141,161,116,28,12,75,68,629
21-22,Terry,Rozier,SG,27,CHO,73,73,2458,518,1167,0.444,222,593,0.374,296,574,0.516,0.539,150,176,0.852,56,259,315,326,93,25,96,119,1408
21-22,Ricky,Rubio,PG,31,CLE,34,8,970,149,411,0.363,59,174,0.339,90,237,0.38,0.434,88,103,0.854,15,126,141,225,49,7,90,75,445
21-22,D'Angelo,Russell,PG,25,MIN,65,65,2077,401,975,0.411,176,518,0.34,225,457,0.492,0.502,198,240,0.825,25,191,216,460,62,22,165,130,1176
21-22,Matt,Ryan,SF,24,BOS,1,0,5,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,0,0,0,1,0,0,0,3
21-22,Domantas,Sabonis,PF,25,TOT,62,61,2136,443,773,0.573,39,125,0.312,404,648,0.623,0.598,246,332,0.741,201,551,752,323,59,27,195,203,1171
21-22,Domantas,Sabonis,PF,25,IND,47,46,1632,331,571,0.58,35,108,0.324,296,463,0.639,0.61,191,258,0.74,155,412,567,236,46,22,143,146,888
21-22,Domantas,Sabonis,PF,25,SAC,15,15,504,112,202,0.554,4,17,0.235,108,185,0.584,0.564,55,74,0.743,46,139,185,87,13,5,52,57,283
21-22,Olivier,Sarr,C,22,OKC,22,2,421,58,101,0.574,13,29,0.448,45,72,0.625,0.639,24,29,0.828,34,59,93,19,6,15,22,52,153
21-22,Tomáš,Satoranský,SG-PG-SF,30,TOT,55,13,906,72,191,0.377,11,53,0.208,61,138,0.442,0.406,43,54,0.796,27,99,126,184,29,5,46,71,198
21-22,Tomáš,Satoranský,SG,30,NOP,32,3,481,32,107,0.299,5,31,0.161,27,76,0.355,0.322,19,25,0.76,18,46,64,76,14,1,23,33,88
21-22,Tomáš,Satoranský,SF,30,SAS,1,0,9,0,0,,0,0,,0,0,,,3,4,0.75,0,1,1,0,0,0,0,0,3
21-22,Tomáš,Satoranský,PG,30,WAS,22,10,416,40,84,0.476,6,22,0.273,34,62,0.548,0.512,21,25,0.84,9,52,61,108,15,4,23,38,107
21-22,Jordan,Schakel,SG,23,WAS,4,0,30,1,11,0.091,1,6,0.167,0,5,0,0.136,2,2,1,2,6,8,0,1,0,1,0,5
21-22,Admiral,Schofield,SF,24,ORL,38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146
21-22,Dennis,Schröder,PG,28,TOT,64,29,1837,312,724,0.431,86,250,0.344,226,474,0.477,0.49,157,184,0.853,34,180,214,296,53,8,143,154,867
21-22,Dennis,Schröder,PG,28,BOS,49,25,1433,257,584,0.44,67,192,0.349,190,392,0.485,0.497,123,145,0.848,28,136,164,208,41,5,104,116,704
21-22,Dennis,Schröder,PG,28,HOU,15,4,404,55,140,0.393,19,58,0.328,36,82,0.439,0.461,34,39,0.872,6,44,50,88,12,3,39,38,163
21-22,Tre,Scott,SF,25,CLE,2,0,11,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,,1,1,2,0,1,1,0,2,6
21-22,Jay,Scrubb,SG,21,LAC,18,0,121,18,46,0.391,6,21,0.286,12,25,0.48,0.457,7,10,0.7,2,14,16,8,4,3,7,9,49
21-22,Wayne,Selden,SG,27,NYK,3,0,19,1,4,0.25,1,2,0.5,0,2,0,0.375,2,4,0.5,0,1,1,1,0,0,0,1,5
21-22,Alperen,?engün,C,19,HOU,72,13,1489,249,525,0.474,29,117,0.248,220,408,0.539,0.502,165,232,0.711,138,255,393,185,59,68,145,214,692
21-22,Collin,Sexton,SG,23,CLE,11,11,316,68,151,0.45,11,45,0.244,57,106,0.538,0.487,29,39,0.744,13,23,36,23,10,0,31,25,176
21-22,Landry,Shamet,SG,24,PHO,69,14,1437,191,485,0.394,123,334,0.368,68,151,0.45,0.521,68,81,0.84,16,110,126,108,28,9,41,92,573
21-22,Day'Ron,Sharpe,PF,20,BRK,32,8,391,86,149,0.577,2,7,0.286,84,142,0.592,0.584,24,41,0.585,81,79,160,17,10,15,30,60,198
21-22,Pascal,Siakam,PF,27,TOR,68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551
21-22,Chris,Silva,PF,25,TOT,10,0,91,8,15,0.533,0,0,,8,15,0.533,0.533,10,12,0.833,13,23,36,7,0,1,8,20,26
21-22,Chris,Silva,PF,25,MIN,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
21-22,Chris,Silva,PF,25,MIA,9,0,88,8,15,0.533,0,0,,8,15,0.533,0.533,10,12,0.833,13,22,35,7,0,1,8,20,26
21-22,Marko,Simonovic,C,22,CHI,9,0,35,4,15,0.267,1,5,0.2,3,10,0.3,0.3,8,11,0.727,5,5,10,0,1,1,2,6,17
21-22,Anfernee,Simons,SG,22,POR,57,30,1681,353,797,0.443,179,442,0.405,174,355,0.49,0.555,103,116,0.888,26,125,151,221,30,6,115,110,988
21-22,Zavier,Simpson,PG,24,OKC,4,4,174,19,52,0.365,1,8,0.125,18,44,0.409,0.375,5,5,1,2,19,21,30,5,4,10,15,44
21-22,Jericho,Sims,PF,23,NYK,41,5,555,39,54,0.722,0,0,,39,54,0.722,0.722,12,29,0.414,61,108,169,21,11,22,20,66,90
21-22,Deividas,Sirvydis,SG,21,DET,3,0,27,1,10,0.1,1,7,0.143,0,3,0,0.15,0,0,,0,6,6,1,3,1,0,4,3
21-22,Javonte,Smart,PG,22,TOT,17,1,200,19,60,0.317,8,27,0.296,11,33,0.333,0.383,5,6,0.833,5,19,24,16,6,3,11,12,51
21-22,Javonte,Smart,PG,22,MIL,13,1,160,11,43,0.256,4,18,0.222,7,25,0.28,0.302,5,6,0.833,4,15,19,14,4,2,9,11,31
